Pais;Ciudad;Gini
Austria;Vienna;0,27
Austria;Graz;0,27
Austria;Linz;0,25
Bélgica;Antwerp;0,3
Bélgica;Gent;0,29
Bélgica;Liege;0,31
Canada;Toronto;0,41
Canada;Montreal;0,35
Canada;Vancouver;0,4
Canada;Calgary;0,45
Canada;Winnipeg;0,36
Canada;Hamilton;0,34
Canada;London;0,35
Canada;Halifax;0,34
Canada;Victoria;0,35
Canada;Windsor;0,36
Canada;Saskatoon;0,36
Canada;Sherbrooke;0,3
Francia;Paris;0,33
Francia;Lyon;0,28
Francia;Toulouse;0,27
Francia;Strasbourg;0,27
Francia;Bordeaux;0,26
Francia;Nantes;0,24
Francia;Lille;0,28
Francia;Montpellier;0,28
Francia;Saint-Etienne;0,25
Francia;Rennes;0,25
Francia;Grenoble;0,27
Francia;Toulon;0,26
Francia;Marseille;0,29
Francia;Nice;0,28
Francia;Rouen;0,27
Italia;Rome;0,32
Italia;Milan;0,31
Italia;Naples;0,32
Italia;Turin;0,33
Italia;Palermo;0,3
Italia;Genoa;0,3
Italia;Florence;0,3
Italia;Bari;0,33
Italia;Bologna;0,31
Italia;Catania;0,29
Italia;Venice;0,3
Italia;Verona;0,31
Italia;Padua;0,31
Noruega;Oslo;0,27
Portugal;Lisbon;0,4
Portugal;Porto;0,39
Suecia;Stockholm;0,3
Suecia;Gothenburg;0,28
Suecia;Malmo;0,33
Estados Unidos;Dallas;0,41
Estados Unidos;Houston;0,43
Estados Unidos;Atlanta;0,4
Estados Unidos;San Diego;0,39
Estados Unidos;St. Louis;0,4
Estados Unidos;Denver;0,37
Estados Unidos;Orange;0,38
Estados Unidos;Jackson (MO);0,38
Estados Unidos;Cuyahoga;0,39
Estados Unidos;New Haven;0,43
Estados Unidos;Sacramento;0,39
Estados Unidos;Milwaukee;0,39
Estados Unidos;Salt Lake;0,36
Estados Unidos;Jefferson (KY);0,35
Estados Unidos;Davidson;0,38
Estados Unidos;Oklahoma;0,39
Estados Unidos;Hartford;0,36
Estados Unidos;Virginia Beach;0,33
Estados Unidos;Erie (NY);0,34
Estados Unidos;Wake;0,35
Estados Unidos;Jefferson (AL);0,38
Estados Unidos;Pima;0,41
Estados Unidos;Tulsa;0,39
Estados Unidos;Albany;0,33
Estados Unidos;Providence;0,38
Estados Unidos;Douglas (NE);0,34
Estados Unidos;Kern;0,39
Estados Unidos;Ventura;0,37
Estados Unidos;El Paso (TX);0,4
Estados Unidos;East Baton Rouge;0,38
Estados Unidos;Worcester;0,34
Estados Unidos;Hidalgo;0,43
Estados Unidos;Richland;0,33
Estados Unidos;Lehigh;0,34
Estados Unidos;Sarasota;0,4
Estados Unidos;Montgomery (OH);0,36
Estados Unidos;San Joaquin;0,37
Estados Unidos;Kent;0,36
Estados Unidos;Charleston;0,35
Estados Unidos;Onondaga;0,34
Estados Unidos;El Paso (CO);0,33
Estados Unidos;Ada;0,37
Estados Unidos;Hampden;0,36
Estados Unidos;Lee;0,4
Estados Unidos;Sedgwick;0,35
Estados Unidos;Polk;0,34
Estados Unidos;Dauphin;0,33
Estados Unidos;Lucas;0,38
Estados Unidos;Pulaski;0,36
Estados Unidos;Dane;0,34
Estados Unidos;Brevard;0,36
Estados Unidos;Summit;0,37
Estados Unidos;Hamilton (TN);0,38
Estados Unidos;Utah;0,34
Estados Unidos;Lancaster (PA);0,32
Estados Unidos;Stanislaus;0,38
Estados Unidos;Greene;0,37
Estados Unidos;Fayette;0,36
Estados Unidos;Spokane;0,38
Estados Unidos;Guilford;0,39
Estados Unidos;Forsyth;0,39
Estados Unidos;Washoe;0,4
